wavelength xatm
6405.0 0.9337000250816345
6430.0 0.9345999956130981
6455.0 0.9354000091552734
6480.0 0.9362999796867371
6505.0 0.9373000264167786
6530.0 0.9384999871253967
6555.0 0.9394999742507935
6580.0 0.9399999976158142
6605.0 0.9398000240325928
6630.0 0.9386000037193298
6655.0 0.9366000294685364
6680.0 0.9348999857902527
6705.0 0.934499979019165
6730.0 0.9366000294685364
6755.0 0.9420999884605408
6780.0 0.9491999745368958
6805.0 0.949400007724762
6830.0 0.9333999752998352
6855.0 0.9057000279426575
6880.0 0.8862000107765198
6905.0 0.8892999887466431
6930.0 0.90829998254776
6955.0 0.9311000108718872
6980.0 0.9449999928474426
7005.0 0.946399986743927
7030.0 0.9560999870300293
7055.0 0.9708999991416931
7080.0 0.9825999736785889
7105.0 0.982699990272522
7130.0 0.9628999829292297
7155.0 0.9192000031471252
7180.0 0.8848999738693237
7205.0 0.8974000215530396
7230.0 0.9182000160217285
7255.0 0.9194999933242798
7280.0 0.9153000116348267
7305.0 0.9225000143051147
7330.0 0.9435999989509583
7355.0 0.9505000114440918
7380.0 0.9495999813079834
7405.0 0.951200008392334
7430.0 0.9531000256538391
7455.0 0.953499972820282
7480.0 0.9508000016212463
7505.0 0.9448999762535095
7530.0 0.9416000247001648
7555.0 0.9483000040054321
7580.0 0.9429000020027161
7605.0 0.4925999939441681
7630.0 0.6546000242233276
7655.0 0.7939000129699707
7680.0 0.953000009059906
7705.0 0.9557999968528748
7730.0 0.9602000117301941
7755.0 0.9614999890327454
7780.0 0.9605000019073486
7805.0 0.958299994468689
7830.0 0.9559000134468079
7855.0 0.9541000127792358
7880.0 0.9541000127792358
7905.0 0.9567000269889832
7930.0 0.9621999859809875
7955.0 0.9692000150680542
7980.0 0.9761999845504761
8005.0 0.9814000129699707
